Row #,apc_2012_2013_results.csv PMCID,processed_apc_2012_2013.csv PMCID,apc_2012_2013_results.csv PMID,processed_apc_2012_2013.csv PMID,apc_2012_2013_results.csv DOI,processed_apc_2012_2013.csv DOI,apc_2012_2013_results.csv Article title,processed_apc_2012_2013.csv Article title
705,PMC3605587,PMC3512055,23287458,23103074,10.1016/j.socscimed.2012.12.004,10.1016/j.socscimed.2012.09.031,The anatomy of choice: active inference and agency,Household-based cash transer targeting strategies in Zimbabwe: are we reaching the most vulnerable children?
706,PMC3223522,PMC3675686,21420373,23702209,10.1016/j.scr.2011.02.001,10.1016/j.socscimed.2013.04.002,Density of human bone marrow stromal cells regulates commitment to vascular lineages,"The impact of a lay counselor led collaborative care intervention for common mental disorders in public and private primary care: a qualitative evaluation nested in the MANAS trial in Goa, India."
707,PMC3878424,PMC3605587,22326068,23287458,10.1016/j.shpsc.2011.10.021,10.1016/j.socscimed.2012.12.004,Natural History and Information Overload: The Case of Linnaeus,We view that as contraceptive failure: Containing the multiplicity of contraception and abortion within Scottish reproductive healthcare
708,PMC3635120,PMC3223522,23036861,21420373,10.1016/j.shpsc.2012.09.002,10.1016/j.scr.2011.02.001,Making space for criminalistics: Hans Gross and fin-de-siècle CSI,Density of human bone marrow stromal cells regulates commitment to vascular lineages
709,PMC3661977,PMC3878424,23794760,22326068,10.1016/j.tetlet.2013.03.128,10.1016/j.shpsc.2011.10.021,"An E/Z conformational behaviour study on the trypanocidal action of lipophilic spiro carbocyclic 2,6-diketopiperazine-1-acetohydroxamic acids.",Natural History and Information Overload: The Case of Linnaeus
710,PMC3866684,PMC3635120,23291110,23036861,10.1016/j.jsbmb.2012.12.014,10.1016/j.shpsc.2012.09.002,The structural biology of oestrogen metabolism.,Making space for criminalistics: Hans Gross and fin-de-siècle CSI
711,PMC3771416,PMC3661977,23454164,23794760,10.1016/s1473-3099(13)70005-7,10.1016/j.tetlet.2013.03.128,"Efficacy of RTS,S malaria vaccines: individual-participant pooled analysis of phase 2 data.","An E/Z conformational behaviour study on the trypanocidal action of lipophilic spiro carbocyclic 2,6-diketopiperazine-1-acetohydroxamic acids."
712,PMC3898908,PMC3866684,23773811,23291110,10.1016/j.tvjl.2013.05.021,10.1016/j.jsbmb.2012.12.014,The role of veterinarians in equestrian sport: A comparative review of ethical issues surrounding human and equine sports medicine.,The structural biology of oestrogen metabolism.
713,PMC3528949,PMC3771416,23140894,23454164,10.1016/j.ttbdis.2012.10.020,10.1016/S1473-3099(13)70005-7,Tick cell culture isolation and growth of Rickettsia raoultii from Dutch Dermacentor reticulatus ticks,"Efficacy of RTS,S malaria vaccines: individual-participant pooled analysis of phase 2 data."
714,PMC3759846,PMC3898908,23849220,23773811,10.1016/j.tube.2013.05.002,10.1016/j.tvjl.2013.05.021,Pathways of IL-1β secretion by macrophages infected with clinical Mycobacterium tuberculosis strains,The role of veterinarians in equestrian sport: A comparative review of ethical issues surrounding human and equine sports medicine.
715,PMC3608034,PMC3528949,23332400,23140894,10.1016/j.tube.2012.11.014,10.1016/j.ttbdis.2012.10.020,A novel assay of antimycobacterial activity and phagocytosis by human neutrophils,Tick cell culture isolation and growth of Rickettsia raoultii from Dutch Dermacentor reticulatus ticks
716,PMC3740234,PMC3759846,23664995,23849220,10.1016/j.vaccine.2013.04.062,10.1016/j.tube.2013.05.002,Increased IgG but normal IgA anti-pneumococcal protein antibodies in lung of HIV-infected adults,Pathways of IL-1β secretion by macrophages infected with clinical Mycobacterium tuberculosis strains
717,PMC3763375,PMC3608034,23777956,23332400,10.1016/j.vaccine.2013.06.016,10.1016/j.tube.2012.11.014,Human papillomavirus (HPV) vaccine implementation in low and middle-income countries: health system experiences and propsects.,A novel assay of antimycobacterial activity and phagocytosis by human neutrophils
718,PMC3989769,PMC3740234,24035434,23664995,10.1016/j.vaccine.2013.08.100,10.1016/j.vaccine.2013.04.062,Cattle immunized against the pathogenic l-α-glycerol-3-phosphate oxidase of Mycoplasma mycoides subs. mycoides fail to generate neutralizing antibodies and succumb to disease on challenge ☆,Increased IgG but normal IgA anti-pneumococcal protein antibodies in lung of HIV-infected adults
719,PMC3763374,PMC3763375,23727000,23777956,10.1016/j.vaccine.2013.05.063,10.1016/j.vaccine.2013.06.016,Protection against avian necrotic enteritis after immunisation with NetB genetic or formaldehyde toxoids,Human papillomavirus (HPV) vaccine implementation in low and middle-income countries: health system experiences and propsects.
720,PMC3404461,PMC3989769,20937436,24035434,10.1016/j.vaccine.2010.08.068,10.1016/j.vaccine.2013.08.100,"Tailoring subunit vaccine immunogenicity: maximizing antibody and T cell responses by using combinations of adenovirus, poxvirus and protein-adjuvant vaccines against Plasmodium falciparum MSP1.",Cattle immunized against the pathogenic l-α-glycerol-3-phosphate oxidase of Mycoplasma mycoides subs. mycoides fail to generate neutralizing antibodies and succumb to disease on challenge ☆
721,PMC3884126,PMC3763374,23117109,23727000,10.1016/j.vph.2012.10.007,10.1016/j.vaccine.2013.05.063,Signal transduction and modulating pathways in Trypamine-evoked vasopressor responses of the rat isolated,Protection against avian necrotic enteritis after immunisation with NetB genetic or formaldehyde toxoids
722,PMC3757156,PMC3404461,23146170,20937436,10.1016/j.vetmic.2012.10.021,10.1016/j.vaccine.2010.08.068,Isolation of canine Anaplasma phagocytophilum strains from clinical blood samples using the Ixodes ricinus cell line IRE/CTVM20,"Tailoring subunit vaccine immunogenicity: maximizing antibody and T cell responses by using combinations of adenovirus, poxvirus and protein-adjuvant vaccines against Plasmodium falciparum MSP1."
723,PMC3477318,PMC3884126,22789299,23117109,10.1016/j.vetpar.2012.06.018,10.1016/j.vph.2012.10.007,Persistence of the efficacy of copper oxide wire particles against Haemonchus contortus in grazing South African goats.,Signal transduction and modulating pathways in Trypamine-evoked vasopressor responses of the rat isolated
724,PMC3611597,PMC3757156,23351972,23146170,10.1016/j.vetpar.2012.12.032,10.1016/j.vetmic.2012.10.021,Toxocara canis: molecular basis of immune recognition and evasion,Isolation of canine Anaplasma phagocytophilum strains from clinical blood samples using the Ixodes ricinus cell line IRE/CTVM20
725,PMC3791421,PMC3477318,23830075,22789299,10.1016/j.virol.2013.05.033,10.1016/j.vetpar.2012.06.018,An essential fifth coding ORF in the sobemoviruses,Persistence of the efficacy of copper oxide wire particles against Haemonchus contortus in grazing South African goats.
726,PMC3566544,PMC3611597,23201205,23351972,10.1016/j.virusres.2012.11.004,10.1016/j.vetpar.2012.12.032,Prostratin exhibits both replication enhancing and inhibiting effects on FIV infection of feline CD4(+) T-cells,Toxocara canis: molecular basis of immune recognition and evasion
727,PMC3748346,PMC3791421,23820087,23830075,10.1016/j.visres.2013.06.006,10.1016/j.virol.2013.05.033,Sensitivity to numerosity is not a unique visuospatial psychophysical predictor of mathematical ability,An essential fifth coding ORF in the sobemoviruses
728,PMC3552157,PMC3566544,23200744,23201205,10.1016/j.visres.2012.11.005,10.1016/j.virusres.2012.11.004,Perceptual learning of second order cues for layer decomposition,Prostratin exhibits both replication enhancing and inhibiting effects on FIV infection of feline CD4(+) T-cells
729,PMC3567274,PMC3748346,23375655,23820087,10.1016/j.ajhg.2013.01.003,10.1016/j.visres.2013.06.006,"Identification of mutations in SL24A4, encoding a potassium-dependent sodium/calcium exchanger, as a cause of amelogenesis imperfecta",Sensitivity to numerosity is not a unique visuospatial psychophysical predictor of mathematical ability
730,PMC3135804,PMC3552157,21741611,23200744,10.1016/j.ajhg.2011.05.024,10.1016/j.visres.2012.11.005,"Inactivation of IL11 signaling causes craniosynostosis, delayed tooth eruption, and supernumerary teeth.",Perceptual learning of second order cues for layer decomposition
731,PMC3169830,PMC3567274,21907015,23375655,10.1016/j.ajhg.2011.08.005,10.1016/j.ajhg.2013.01.003,"Homozygous Mutations in PXDN Cause Congential Cataract, Corneal Opacity and Developmental Glaucoma","Identification of mutations in SL24A4, encoding a potassium-dependent sodium/calcium exchanger, as a cause of amelogenesis imperfecta"
732,PMC3397259,PMC3135804,22742743,21741611,10.1016/j.ajhg.2012.05.022,10.1016/j.ajhg.2011.05.024,Mutations in DPAGT1 Cause a Limb-Girdle Congenital Myasthenic Syndrome with Tubular Aggregates,"Inactivation of IL11 signaling causes craniosynostosis, delayed tooth eruption, and supernumerary teeth."
733,PMC3484648,PMC3169830,23022100,21907015,10.1016/j.ajhg.2012.08.021,10.1016/j.ajhg.2011.08.005,Discovery and Fine Mapping of Serum Protein Loci through Transethnic Meta-analysis.,"Homozygous Mutations in PXDN Cause Congential Cataract, Corneal Opacity and Developmental Glaucoma"
734,PMC3769304,PMC3397259,24040356,22742743,10.1371/journal.pone.0074895,10.1016/j.ajhg.2012.05.022,The contribution of Orai(CRACM)1 and Orai(CRACM)2 channels in store-operated Ca2+ entry and mediator release in human lung mast cells,Mutations in DPAGT1 Cause a Limb-Girdle Congenital Myasthenic Syndrome with Tubular Aggregates
735,PMC3436856,PMC3484648,22970135,23022100,10.1371/journal.pone.0043623,10.1016/j.ajhg.2012.08.021,Re-axpession of IGF-II is important for Beta Cell Regeneration and Adult Mice,Discovery and Fine Mapping of Serum Protein Loci through Transethnic Meta-analysis.
736,PMC3519623,PMC3769304,23251490,24040356,10.1371/journal.pone.0051300,10.1371/journal.pone.0074895,Functional analysis of Leishmania cyclopropane fatty acid synthetase.,The contribution of Orai(CRACM)1 and Orai(CRACM)2 channels in store-operated Ca2+ entry and mediator release in human lung mast cells
737,PMC3528668,PMC3436856,23285115,22970135,10.1371/journal.pone.0052622,10.1371/journal.pone.0043623,G6f-like is an ITAM-containing collagen receptor in thrombocytes,Re-axpession of IGF-II is important for Beta Cell Regeneration and Adult Mice
738,PMC3532067,PMC3519623,23285297,23251490,10.1371/journal.pone.0053473,10.1371/journal.pone.0051300,Pharmacological inhibition of caspase-2 protects axotomised retinal ganglion cells from apoptosis in adult rats,Functional analysis of Leishmania cyclopropane fatty acid synthetase.
739,PMC3736666,PMC3528668,23931322,23285115,10.1016/j.bpj.2013.06.015,10.1371/journal.pone.0052622,Aggregation modulators interfer with membrane interactions of Beta2 microglobulin fibrils,G6f-like is an ITAM-containing collagen receptor in thrombocytes
740,PMC3512037,PMC3532067,23200041,23285297,10.1016/j.bpj.2012.10.016,10.1371/journal.pone.0053473,GABA binding to an insect GABA receptor: a molecular dynamics and mutagenesis study,Pharmacological inhibition of caspase-2 protects axotomised retinal ganglion cells from apoptosis in adult rats
741,PMC3525841,PMC3736666,23260056,23931322,10.1016/j.bpj.2012.11.006,10.1016/j.bpj.2013.06.015,Single-molecule observation of the induction of k-turn RNA structure on binding L7Ae protein,Aggregation modulators interfer with membrane interactions of Beta2 microglobulin fibrils
742,PMC3464430,PMC3512037,22738725,23200041,10.1016/j.cell.2012.06.018,10.1016/j.bpj.2012.10.016,piRNAs can trigger a multigenerational epigeneitc memory in the gernline of C. elegans,GABA binding to an insect GABA receptor: a molecular dynamics and mutagenesis study
743,PMC3732391,PMC3525841,23890820,23260056,10.1016/j.cell.2013.06.040,10.1016/j.bpj.2012.11.006,Genome sequencing reveals loci under artificial selection that underlie disease phenotypes in the laboratory rat,Single-molecule observation of the induction of k-turn RNA structure on binding L7Ae protein
744,PMC3420011,PMC3464430,22901802,22738725,10.1016/j.cell.2012.06.045,10.1016/j.cell.2012.06.018,"Small-molecule inhibition of BRDT for male contraception, Cell, Elsevier",piRNAs can trigger a multigenerational epigeneitc memory in the gernline of C. elegans
745,PMC3326523,PMC3732391,22464331,23890820,10.1016/j.cell.2012.02.013,10.1016/j.cell.2013.06.040,Histone recognition and large-scale structural analysis of the human bromodomain family.,Genome sequencing reveals loci under artificial selection that underlie disease phenotypes in the laboratory rat
746,PMC3661979,PMC3420011,23582324,22901802,10.1016/j.cell.2013.03.012,10.1016/j.cell.2012.06.045,Exit from Pluripotency is Gated by Intracellular Redistribution of the bHLH transcription factor Tfe3,"Small-molecule inhibition of BRDT for male contraception, Cell, Elsevier"
747,PMC3650559,PMC3326523,23622248,22464331,10.1016/j.cell.2013.03.043,10.1016/j.cell.2012.02.013,Mapping the human miRNA interactome by CLASH reveals frequent non-canonical binding,Histone recognition and large-scale structural analysis of the human bromodomain family.
748,PMC3601332,PMC3661979,23498957,23582324,10.1016/j.chom.2013.02.003,10.1016/j.cell.2013.03.012,Human cytomegalovirus UL141 targets the TRAIL death receptors to inhibit host innate defenses,Exit from Pluripotency is Gated by Intracellular Redistribution of the bHLH transcription factor Tfe3
749,PMC3510437,PMC3650559,23159055,23622248,10.1016/j.chom.2012.09.011,10.1016/j.cell.2013.03.043,The Salmonella kinase SteC targets MEK to regulate the host actin cytoskeleton,Mapping the human miRNA interactome by CLASH reveals frequent non-canonical binding
750,PMC3791399,PMC3601332,24093679,23498957,10.1016/j.cmet.2013.08.019,10.1016/j.chom.2013.02.003,AMP Is a True Physiological Regulator of AMP-Activated Protein Kinase by Both Allosteric Activation and Enhancing Net Phosphorylation,Human cytomegalovirus UL141 targets the TRAIL death receptors to inhibit host innate defenses
751,PMC3690479,PMC3510437,23684622,23159055,10.1016/j.cmet.2013.04.010,10.1016/j.chom.2012.09.011,Dynamic Adipocyte Phosphoproteome Reveals Akt Directly Regulates mTORC2,The Salmonella kinase SteC targets MEK to regulate the host actin cytoskeleton
752,PMC3685808,PMC3791399,23562076,24093679,10.1016/j.cmet.2013.02.019,10.1016/j.cmet.2013.08.019,Improved insulin sensitivity despite increased visceral adiposity in mice deficient for the immune cell transcription factor T-bet,AMP Is a True Physiological Regulator of AMP-Activated Protein Kinase by Both Allosteric Activation and Enhancing Net Phosphorylation
753,PMC3607220,PMC3690479,23041313,23684622,10.1016/j.celrep.2012.08.029,10.1016/j.cmet.2013.04.010,Developmental plasticity inbound by pluripotency and the FUF2Wnt signalling pathways,Dynamic Adipocyte Phosphoproteome Reveals Akt Directly Regulates mTORC2
754,unknown,PMC3685808,unknown,23562076,unknown,10.1016/j.cmet.2013.02.019,Localization-Dependent and -Independent Roles of SLX4 in Regulating Telomeres,Improved insulin sensitivity despite increased visceral adiposity in mice deficient for the immune cell transcription factor T-bet
755,PMC3607254,PMC3607220,23395635,23041313,10.1016/j.celrep.2013.01.017,10.1016/j.celrep.2012.08.029,Tcf15 primes pluripotent cells for deifferentiation,Developmental plasticity inbound by pluripotency and the FUF2Wnt signalling pathways
756,PMC3808153,PMC3969258,24120868,23994477,10.1016/j.celrep.2013.08.049,10.1016/j.celrep.2013.07.033,The 5S RNP couples ribosome biogenesis to the home,Localization-Dependent and -Independent Roles of SLX4 in Regulating Telomeres
757,PMC3607255,PMC3607254,23375373,23395635,10.1016/j.celrep.2013.01.006,10.1016/j.celrep.2013.01.017,Asymmetric localizatoin of Cdx2mRNA during the first cell fate decision in early mouse development,Tcf15 primes pluripotent cells for deifferentiation
758,PMC3675675,PMC3808153,23643539,24120868,10.1016/j.celrep.2013.04.006,10.1016/j.celrep.2013.08.049,A role for cytosolic fumarate hydratase in urea cycle metabolism and renal neoplasia.,The 5S RNP couples ribosome biogenesis to the home
759,PMC3644702,PMC3607255,23562152,23375373,10.1016/j.celrep.2013.03.012,10.1016/j.celrep.2013.01.006,Definition of RNA Polymerase ii CoTC Terminator Elements in the Human Genome,Asymmetric localizatoin of Cdx2mRNA during the first cell fate decision in early mouse development
760,PMC3607223,PMC3675675,23273918,23643539,10.1016/j.celrep.2012.12.001,10.1016/j.celrep.2013.04.006,Structure of a pestivirus envelope glycoprotein e2 clarifies its role in cell entry,A role for cytosolic fumarate hydratase in urea cycle metabolism and renal neoplasia.
761,PMC3617368,PMC3644702,23499446,23562152,10.1016/j.celrep.2013.02.013,10.1016/j.celrep.2013.03.012,Inhibition of mitochondrial aconitase by succination in fumarate hydratase deficiency.,Definition of RNA Polymerase ii CoTC Terminator Elements in the Human Genome
762,PMC3778892,PMC3607223,23403291,23273918,10.1016/j.celrep.2013.01.013,10.1016/j.celrep.2012.12.001,c-Myc Induced Sebaceous Gland Differentiation is Controlled by an Androgen Receptor/p53 Axis,Structure of a pestivirus envelope glycoprotein e2 clarifies its role in cell entry
763,PMC3629568,PMC3617368,23561444,23499446,10.1016/j.stem.2013.01.018,10.1016/j.celrep.2013.02.013,Short telomeres in ESCs lead to unstable differentiation,Inhibition of mitochondrial aconitase by succination in fumarate hydratase deficiency.
764,PMC3510442,PMC3778892,23040481,23403291,10.1016/j.stem.2012.07.002,10.1016/j.celrep.2013.01.013,Signalling from the sympathetic nervous system regulates hematopoietic stem cell emergence during embryogenesis,c-Myc Induced Sebaceous Gland Differentiation is Controlled by an Androgen Receptor/p53 Axis
765,PMC3650558,PMC3629568,23521791,23561444,10.1016/j.chembiol.2012.12.008,10.1016/j.stem.2013.01.018,A Yeast Chemical Genetic Screen Identifies Inhibitors of Human Telomerase,Short telomeres in ESCs lead to unstable differentiation
766,PMC3356578,PMC3510442,22264613,23040481,10.1016/j.cub.2011.12.051,10.1016/j.stem.2012.07.002,Disrupted Circadian Rhythms in a Mouse Model of Schizophrenia,Signalling from the sympathetic nervous system regulates hematopoietic stem cell emergence during embryogenesis
767,PMC3502867,PMC3650558,23103187,23521791,10.1016/j.cub.2012.09.042,10.1016/j.chembiol.2012.12.008,Substrate-borne vibratory communication during courtship in Drosophila melanogaster,A Yeast Chemical Genetic Screen Identifies Inhibitors of Human Telomerase
768,PMC3396843,PMC3356578,22658598,22264613,10.1016/j.cub.2012.04.062,10.1016/j.cub.2011.12.051,Neural circuitry underlying Drosophila female post-mating behavioural responses,Disrupted Circadian Rhythms in a Mouse Model of Schizophrenia
769,PMC3502862,PMC3502867,23084991,23103187,10.1016/j.cub.2012.09.020,10.1016/j.cub.2012.09.042,BLOC-3 MUTATED IN HERMANSKY-PUDLAK SYNDROM IS A RAB32/38 GUANINE NUCLEOTIDE EXCHANGE FACTOR,Substrate-borne vibratory communication during courtship in Drosophila melanogaster
770,PMC3485558,PMC3396843,22902756,22658598,10.1016/j.cub.2012.07.012,10.1016/j.cub.2012.04.062,Distinct and overlapping roles for AP-1 and GGAs revealed by the 'knocksideways' system,Neural circuitry underlying Drosophila female post-mating behavioural responses
771,PMC3525857,PMC3502862,23177477,23084991,10.1016/j.cub.2012.10.035,10.1016/j.cub.2012.09.020,NAADP activates two-pore channels on T cell cytolytic granules to stimulate exocytosis and killing,BLOC-3 MUTATED IN HERMANSKY-PUDLAK SYNDROM IS A RAB32/38 GUANINE NUCLEOTIDE EXCHANGE FACTOR
772,PMC3510434,PMC3485558,23041193,22902756,10.1016/j.cub.2012.08.045,10.1016/j.cub.2012.07.012,Brain structure links loneliness to social perception,Distinct and overlapping roles for AP-1 and GGAs revealed by the 'knocksideways' system
773,PMC3580286,PMC3525857,23375895,23177477,10.1016/j.cub.2013.01.009,10.1016/j.cub.2012.10.035,Vinculin regulates the recruitment and release of core focal adhesion proteins in a force-dependent manner,NAADP activates two-pore channels on T cell cytolytic granules to stimulate exocytosis and killing
774,PMC3566480,PMC3510434,23290556,23041193,10.1016/j.cub.2012.12.006,10.1016/j.cub.2012.08.045,M1 corticospinal mirror neurons and their role in movement suppression during action observation,Brain structure links loneliness to social perception
775,PMC3661981,PMC3580286,23664971,23375895,10.1016/j.cub.2013.04.012,10.1016/j.cub.2013.01.009,Locomotion Controls Spatial Integration in Mouse Visual Cortex,Vinculin regulates the recruitment and release of core focal adhesion proteins in a force-dependent manner
776,PMC3778751,PMC3566480,23477726,23290556,10.1016/j.cub.2013.02.008,10.1016/j.cub.2012.12.006,A fovea for pain at the fingertips,M1 corticospinal mirror neurons and their role in movement suppression during action observation
777,PMC3629559,PMC3661981,23394834,23664971,10.1016/j.cub.2013.01.058,10.1016/j.cub.2013.04.012,Calcium flashes orchestrate the wound inflammatory response through DUOX activation and hydrogen peroxide release.,Locomotion Controls Spatial Integration in Mouse Visual Cortex
778,PMC3925796,PMC3778751,23499358,23477726,10.1016/j.devcel.2013.02.009,10.1016/j.cub.2013.02.008,Chromosome engineering allows the efficient isolation of vertebrate neocentromeres.,A fovea for pain at the fingertips
779,PMC3414849,PMC3629559,22698283,23394834,10.1016/j.devcel.2012.05.010,10.1016/j.cub.2013.01.058,Forkhead transcription factor Fd3F cooperates with Rfx to regulate a gene expression program for mechanosensory cilia specialisation,Calcium flashes orchestrate the wound inflammatory response through DUOX activation and hydrogen peroxide release.
780,PMC3507630,PMC3925796,22197222,23499358,10.1016/j.devcel.2011.11.008,10.1016/j.devcel.2013.02.009,Rab25 and CLIC3 Collaborate to Promote Integrin Recycling from Late Endosomes/Lysosomes and Drive Cancer Progression,Chromosome engineering allows the efficient isolation of vertebrate neocentromeres.
781,PMC3437444,PMC3414849,22841499,22698283,10.1016/j.devcel.2012.06.011,10.1016/j.devcel.2012.05.010,SMCHD1-DEPENDENT & INDEPENDENT PATHWAYS DETERMINE DEVELOPMENT DYNAMICS OF CPG ISLAND METHYLATION ON THE INACTIVE X CHROMOSOME,Forkhead transcription factor Fd3F cooperates with Rfx to regulate a gene expression program for mechanosensory cilia specialisation
782,PMC3763371,PMC3507630,22898780,22197222,10.1016/j.devcel.2012.06.003,10.1016/j.devcel.2011.11.008,Changes in Ect2 Localization Couple Actomyosin-Dependent Cell Shape Changes to Mitotic Progression,Rab25 and CLIC3 Collaborate to Promote Integrin Recycling from Late Endosomes/Lysosomes and Drive Cancer Progression
783,PMC3521961,PMC3437444,23177648,22841499,10.1016/j.devcel.2012.10.017,10.1016/j.devcel.2012.06.011,Molecular basis for recognition of dilysine trafficking motifs by COPI,SMCHD1-DEPENDENT & INDEPENDENT PATHWAYS DETERMINE DEVELOPMENT DYNAMICS OF CPG ISLAND METHYLATION ON THE INACTIVE X CHROMOSOME
784,PMC3774154,PMC3763371,23639442,22898780,10.1016/j.devcel.2013.03.019,10.1016/j.devcel.2012.06.003,The Neuropilin 1 Cytoplasmic Domain Is Required for VEGF-A-Dependent Arteriogenesis,Changes in Ect2 Localization Couple Actomyosin-Dependent Cell Shape Changes to Mitotic Progression
785,PMC3178012,PMC3521961,21238926,23177648,10.1016/j.devcel.2010.11.019,10.1016/j.devcel.2012.10.017,Brat promotes stem cell differentiation via control of a bistable switch that restricts BMP signaling,Molecular basis for recognition of dilysine trafficking motifs by COPI
786,PMC3782659,PMC3774154,24044892,23639442,10.1016/j.devcel.2013.08.010,10.1016/j.devcel.2013.03.019,Autoregulatory feedback controls sequential action of cis-regulatory modules at the brinker locus,The Neuropilin 1 Cytoplasmic Domain Is Required for VEGF-A-Dependent Arteriogenesis
787,PMC3730058,PMC3178012,23906065,21238926,10.1016/j.devcel.2013.06.015,10.1016/j.devcel.2010.11.019,"Daughter cell identity emerges from the interplay of Cdc42, septins, and exocytosis",Brat promotes stem cell differentiation via control of a bistable switch that restricts BMP signaling
788,PMC3605578,PMC3782659,23453597,24044892,10.1016/j.devcel.2013.01.027,10.1016/j.devcel.2013.08.010,Syndecan-4 phosphorylation is a control point for integrin recycling,Autoregulatory feedback controls sequential action of cis-regulatory modules at the brinker locus
789,PMC3659288,PMC3730058,23541922,23906065,10.1016/j.devcel.2013.02.008,10.1016/j.devcel.2013.06.015,Hec1-dependent cyclin B2 stabilisation regulates the G2-M transition and early prometaphase in mouse oocytes,"Daughter cell identity emerges from the interplay of Cdc42, septins, and exocytosis"
790,PMC3556782,PMC3605578,23273843,23453597,10.1016/j.immuni.2012.11.004,10.1016/j.devcel.2013.01.027,The Transcription Factor STAT-1 Couples Macrophage Synthesis of 25-Hydroxycholesterol to the Interferon Antiviral Response,Syndecan-4 phosphorylation is a control point for integrin recycling
791,PMC3664922,PMC3659288,23200826,23541922,10.1016/j.immuni.2012.08.025,10.1016/j.devcel.2013.02.008,Dysregulated Hematopoietic Stem and Progenitor Cell Activity Promotes Interleukin-23-Driven Chronic Intestinal Inflammation,Hec1-dependent cyclin B2 stabilisation regulates the G2-M transition and early prometaphase in mouse oocytes
792,PMC3473360,PMC3556782,22981861,23273843,10.1016/j.molcel.2012.08.010,10.1016/j.immuni.2012.11.004,Endoplasmic reticulum thiol oxidase deficiency leads to ascorbic acid depletion and non-canonical scurvy in mice,The Transcription Factor STAT-1 Couples Macrophage Synthesis of 25-Hydroxycholesterol to the Interferon Antiviral Response
793,PMC3594749,PMC3664922,23375500,23200826,10.1016/j.molcel.2012.12.022,10.1016/j.immuni.2012.08.025,Bax Exists in a Dynamic Equilibrium between the Cytosol and Mitochondria to Control Apoptotic Priming,Dysregulated Hematopoietic Stem and Progenitor Cell Activity Promotes Interleukin-23-Driven Chronic Intestinal Inflammation
794,PMC3906653,PMC3473360,23769672,22981861,10.1016/j.molcel.2013.05.014,10.1016/j.molcel.2012.08.010,ERdj5 is the ER Reductase that Catalyses the Removal of Non-Native Disulfides and Correct Folding of the LDL-Receptor,Endoplasmic reticulum thiol oxidase deficiency leads to ascorbic acid depletion and non-canonical scurvy in mice
795,PMC3679449,PMC3594749,23746350,23375500,10.1016/j.molcel.2013.05.011,10.1016/j.molcel.2012.12.022,Kinetochores coordinate pericentromeric cohesion and early DNA replication by Cdc7-Dbf4 kinase recruitment.,Bax Exists in a Dynamic Equilibrium between the Cytosol and Mitochondria to Control Apoptotic Priming
796,PMC3594747,PMC3906653,23375502,23769672,10.1016/j.molcel.2012.12.023,10.1016/j.molcel.2013.05.014,"Identification and Functional Characterization of FMN2, a Regulator of the Cyclin-Dependent Kinase Inhibitor p21",ERdj5 is the ER Reductase that Catalyses the Removal of Non-Native Disulfides and Correct Folding of the LDL-Receptor
797,PMC3547059,PMC3679449,23341972,23746350,10.1371/journal.pone.0053673,10.1016/j.molcel.2013.05.011,Involvement of EphB1 receptors signalling in models of inflammatory and neuropathic pain PONE-D-12-21867,Kinetochores coordinate pericentromeric cohesion and early DNA replication by Cdc7-Dbf4 kinase recruitment.
798,PMC3464305,PMC3594747,23056338,23375502,10.1371/journal.pone.0046544,10.1016/j.molcel.2012.12.023,Time to pregnancy: a computational method for using the duration of non-conception for predicting conception,"Identification and Functional Characterization of FMN2, a Regulator of the Cyclin-Dependent Kinase Inhibitor p21"
799,PMC3509064,PMC3547059,23209710,23341972,10.1371/journal.pone.0050321,10.1371/journal.pone.0053673,The dyslexia candidate locus on 2p12 is associated with general cognitive ability and white matter,Involvement of EphB1 receptors signalling in models of inflammatory and neuropathic pain PONE-D-12-21867
800,PMC3795686,PMC3464305,24147036,23056338,10.1371/journal.pone.0077620,10.1371/journal.pone.0046544,The Role of Clathrin in post-Golgi Trafficking in Toxoplasma gondii,Time to pregnancy: a computational method for using the duration of non-conception for predicting conception
801,PMC3498219,PMC3509064,23166732,23209710,10.1371/journal.pone.0049628,10.1371/journal.pone.0050321,The Sec1/Munc18 protein Vps45 regulates cellular levels of its SNARE binding partners Tlg2 and Snc2 in Saccharomyces cerevisiae,The dyslexia candidate locus on 2p12 is associated with general cognitive ability and white matter
802,PMC3485223,PMC3795686,23118993,24147036,10.1371/journal.pone.0048359,10.1371/journal.pone.0077620,Associations of different phenotypes of wheezing illness in early childhood with environmental variables implicated in the aetiology of asthma,The Role of Clathrin in post-Golgi Trafficking in Toxoplasma gondii
803,PMC3474824,PMC3498219,23082118,23166732,10.1371/journal.pone.0046256,10.1371/journal.pone.0049628,Functional Significance of SRJ Domain Mutations in CITED2,The Sec1/Munc18 protein Vps45 regulates cellular levels of its SNARE binding partners Tlg2 and Snc2 in Saccharomyces cerevisiae
804,PMC3543262,PMC3485223,23326515,23118993,10.1371/journal.pone.0053814,10.1371/journal.pone.0048359,Sleep-wake sensitive mechanisms of adenosine release in the Basal forebrain of rodents: an in vitro study,Associations of different phenotypes of wheezing illness in early childhood with environmental variables implicated in the aetiology of asthma
